"SID","SID2","beepvar3","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","studied","interacted","se","academic_motiv","sick","free","A_rude_sd","E_quiet_sd","C_lazy_sd","N_relaxed_sd","N_depressed_sd","E_outgoing_sd","A_kind_sd","C_reliable_sd","N_worried_sd"
"10136",100,23,0.28125,-0.86,0.3,-0.16,0.66,0.1,0.09375,0.2,-0.12,1,1,2,2,4,0,0.415730240243672,1.0881551510024,0.762648446573665,0.650274667242345,0.65807387464463,0.863074712399612,0.310324057088978,0.494871659305393,0.558423436734059
"10141",104,22,-0.00229396156956599,0.324324324324324,0.297297297297297,-0.135135135135135,-0.027027027027027,0.135135135135135,0.857142857142857,0.108108108108108,-0.243243243243243,1,1,3,5,4,0,0,1.37546061081075,0.661012055061734,1.0317773813011,0.164398987305357,1.25082555321058,0.750661084306402,0.314800093867678,0.494716832890033
"10143",105,22,1.975,0.41304347826087,-0.782608695652174,-1.47826086956522,-0.195652173913043,-0.760869565217391,-1.3,-1.1304347826087,1.47826086956522,1,1,2,3,3,0,0.682723304942135,1.04511747253644,1.03092285471181,0.960072461033428,0.618944090721944,0.821510332894931,0.76594168620507,0.805776248296536,0.982946374365981
"10144",106,22,0.911764705882353,-1.07894736842105,-0.0789473684210527,-0.315789473684211,-0.289473684210526,1.10526315789474,-0.117647058823529,0.684210526315789,0.684210526315789,0,1,5,2,2,0,0.850044420423523,1.04962229879515,1.17131432177631,1.18789532612606,0.565106769956727,1.31085847019281,0.604698087829359,0.989273912220329,1.0424830845188
"10145",107,19,0.0117507410175143,0.354838709677419,0.67741935483871,-0.096774193548387,-0.483870967741935,-0.096774193548387,-0.518518518518519,-1.64516129032258,0.096774193548387,0,1,3,1,3,0,0,0.550659428732145,0.791079295401481,1.13592366849413,0.926317718781754,0.789718882880797,0.944117590499911,0.754912228751316,1.01175882204135
"10150",111,24,-0.024390243902439,-0.291666666666667,0.166666666666667,0.1875,0.0416666666666667,-0.0833333333333335,-0.666666666666667,0.354166666666667,-0.125,0,1,4,3,5,1,0.144075169217511,1.28755637485887,1.4488929498558,1.14215641511824,0.617418556377167,1.1267224796281,0.429414907892783,1.15757603184566,0.913841552446989
"10151",112,19,-0.375,-1.58064516129032,1,0.225806451612903,-0.032258064516129,0.580645161290323,-0.0833333333333335,-0.161290322580645,-0.516129032258065,0,1,3,1,4,0,0.433012701892219,1.02548179078217,1.06458129484475,0.804556914057041,0.179605302026775,0.958269048802304,0.35746017649212,0.820437858445046,0.769023958965106
"10153",113,26,-0.114285714285714,-1.85185185185185,-0.388888888888889,0.537037037037037,-0.777777777777778,2.22222222222222,0.771428571428571,0.277777777777778,0.537037037037037,1,1,1,3,3,0,0.2585466325172,1.10585760124972,0.979346464156248,1.09394496365587,0.964788894039982,1.09314617204614,0.517093265034399,0.737580610667542,1.11105869897348
"10154",114,19,-0.0555555555555556,0.862068965517241,1.79310344827586,0.586206896551724,-0.0344827586206897,-0.931034482758621,-0.421052631578947,-1.03448275862069,0.137931034482759,0,1,3,3,5,1,0.183657721673113,1.2456821978061,1.58968348927046,0.682288239221013,0.185695338177052,1.03271606119697,0.770704199032297,0.778403064003002,0.990098766034209
"10155",115,21,1.13513513513514,0.428571428571428,-0.26530612244898,0.285714285714286,0.244897959183674,-0.857142857142857,-0.405405405405405,-0.306122448979592,0.979591836734694,0,1,3,1,4,0,0.794831275653366,1.44337567297406,1.11384301340153,0.935414346693486,0.804430757453626,1.19023807142381,0.47694599010525,0.741734499687867,0.803372991371571
"10157",116,22,-0.533333333333333,-0.864864864864865,-0.486486486486486,0.513513513513514,-0.216216216216216,1.62162162162162,0.774193548387097,0.0270270270270272,-0.864864864864865,1,1,5,5,4,1,0.696552356384777,1.31576260443563,0.803520781091345,1.23876330851964,0.479301293269411,1.38145155847334,0.695608343640252,0.164398987305357,0.917792101917608
"10158",117,20,-0.2,-0.153846153846154,-0.769230769230769,-0.192307692307693,-0.653846153846154,1.03846153846154,-0.238095238095238,-0.423076923076923,0.230769230769231,0,1,5,3,3,0,0.357770876399966,1.12043947421742,0.908083357746074,1.0205579167977,0.845804123532521,0.662164283589457,0.390360029179413,0.902134221635647,1.06986699389007
"10161",120,19,0,-0.72972972972973,1.62162162162162,1.32432432432432,-0.567567567567568,-1.43243243243243,0,1.67567567567568,0.45945945945946,0,0,3,4,5,0,0.525947117465597,1.2615829705539,1.06331116359729,1.0288627501074,0.898781290308052,1.34454743605713,0.663185354795185,0.973369121889249,0.900450337781497
"10164",122,25,0.5625,-1.31707317073171,-2.02439024390244,1.80487804878049,-0.682926829268293,2.24390243902439,1.375,-0.024390243902439,-1.4390243902439,0,1,5,1,5,0,0.704893608993584,1.50729931317977,1.29398231977969,1.16660859321201,0.849677126626459,1.46254038926927,0.858778201865883,1.15082155171966,1.22574019449076
"10172",126,20,0.0769230769230769,0.48,-0.28,-0.56,-0.3,0.68,-0.205128205128205,-0.5,-0.76,0,1,4,3,4,1,0.651046735982357,0.973946317089104,1.14357120549654,0.929340340988034,0.614451804788759,0.84370417487048,0.612105339056537,0.788954358370519,0.893514044063537
"10173",127,25,-0.411764705882353,2.04878048780488,0.268292682926829,0.975609756097561,-0.121951219512195,-1.78048780487805,-0.382352941176471,-1.1219512195122,0.414634146341463,1,0,5,4,5,0,0.596558759001305,1.28357351780479,0.80698172977777,0.790183677319672,0.33129457822454,1.2944534584517,0.671368225430461,0.678053167208129,0.590576403020708
"10175",129,19,-0.714285714285714,-1.47727272727273,-0.909090909090909,0.909090909090909,-0.977272727272727,1.90909090909091,0.607142857142857,0.659090909090909,-0.727272727272727,1,1,4,4,4,0,0.64184120535407,1.15110940145697,1.19724843098533,0.910358524267297,0.999735694458182,1.2165177489062,0.787674992422451,1.09848059584606,1.01988682371741
"10177",131,19,0.777777777777778,-1.525,-0.85,1.125,-1.35,1.775,-0.5,0.975,-1.075,1,1,4,3,3,0,0.819978458475997,1.10911144847044,1.21000105954605,0.911113716902674,1.02657009202789,1.20867590192633,0.792593923901217,0.83166499665831,0.971055465948634
"10181",134,24,-0.549019607843137,1.11320754716981,-0.377358490566038,0,0.207547169811321,-0.886792452830189,0.0196078431372548,0.735849056603774,0.39622641509434,1,1,3,2,2,1,0.688189528070577,1.12078916837287,0.96529021332247,0.98058067569092,0.884883533536775,0.993447326591186,0.820182814481283,0.593261629800313,0.905955140711245
"10184",135,25,-0.307692307692308,-2.39622641509434,0.30188679245283,-1.58490566037736,-0.188679245283019,1.56603773584906,1.02631578947368,-0.981132075471698,0.509433962264151,0,1,4,2,4,0,0.68370726287043,1.39145223862185,1.44893735146695,1.02720611114568,0.590195657700605,1.40752693596666,0.950442045035709,1.1517639654984,0.823282396392027
"10188",139,23,-0.51219512195122,-0.217391304347826,-0.673913043478261,0.0652173913043477,-0.41304347826087,0.217391304347826,-0.341463414634146,0.369565217391304,0.304347826086957,0,1,4,1,4,1,0.670719388898954,0.964089518164064,1.1166288118178,0.533423905352893,0.932763801387438,1.03092285471181,0.686691135407437,0.82620136507523,0.662304569662001
"10198",147,19,-0.117647058823529,0.105263157894737,0.289473684210526,-0.131578947368421,-0.684210526315789,0.763157894736842,-0.147058823529412,0.815789473684211,0.684210526315789,1,0,4,4,5,0,0.308851917841242,1.06007326835538,0.89768154037911,0.811107105653813,0.739074042953264,0.998220322490624,1.25487918964502,0.691854662049563,0.774780288224563
"10200",149,12,-0.0134001650608024,-1.04545454545455,-0.727272727272727,-0.818181818181818,-0.318181818181818,-1.40909090909091,-0.533333333333333,-0.136363636363637,-0.227272727272727,1,1,1,1,1,0,0,1.61767831069194,0.702500173314209,1.22031860150433,0.476731294622796,1.50108186094122,0.680802514310915,0.467562529096076,0.611930449037204
