"SID","day","real_order","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","pos_emotion","neg_emotion","authentic","SE","Happy","Lonely"
"10444",4,5,NA,3,2,4,1,3,NA,4,2,5,2,4,4,4,2
"10428",20,5,1,5,4,5,1,1,2,3,3,3,2,4,4,3,1
"10441",8,5,1,3,2,3,2,3,3,4,4,3,3,4,4,4,2
"10426",36,4,NA,5,4,5,2,1,NA,2,1,4,2,5,4,3,1
"10436",8,4,2,1,1,3,1,5,3,4,2,4,3,4,3,4,1
"10366",32,4,1,2,5,5,1,5,4,3,4,4,2,5,3,3,1
"10418",24,4,1,1,4,3,1,5,4,3,1,5,1,4,5,5,1
"10372",28,4,1,3,5,3,2,2,3,3,3,3,2,3,3,3,2
"10429",24,4,2,2,1,4,1,5,4,5,1,5,3,5,5,5,1
"10411",36,4,1,2,4,5,1,5,4,4,3,3,3,4,5,3,1
"10277",28,4,1,5,3,3,1,2,4,3,1,3,1,3,3,3,1
"10441",4,4,1,2,3,3,3,3,3,4,3,3,2,4,4,3,2
"10426",32,3,1,3,1,4,1,4,4,3,1,4,2,5,5,4,1
"10436",4,3,1,1,1,5,1,5,4,5,1,5,1,5,5,5,1
"10411",32,3,1,2,1,4,1,5,4,4,2,5,1,4,4,4,1
"10366",28,3,1,2,5,5,2,4,5,5,3,4,1,4,4,3,1
"10429",20,3,1,3,1,4,1,4,5,5,1,5,1,4,5,5,2
"10277",24,3,1,5,1,3,1,1,5,5,1,5,1,5,5,4,1
"10434",12,3,1,5,3,3,1,1,1,1,1,2,2,3,1,3,1
"10418",20,3,1,5,2,3,1,1,NA,3,2,3,2,3,3,3,2
"10372",24,3,NA,5,3,3,3,1,NA,3,4,1,3,3,2,1,4
"10429",16,2,1,3,2,4,1,4,4,5,2,4,2,5,5,4,2
"10415",60,2,NA,5,5,4,1,1,NA,3,2,2,3,4,4,3,2
"10411",28,2,2,3,1,5,1,4,4,4,2,5,2,4,5,4,1
"10418",16,2,1,1,3,3,1,4,3,3,4,4,2,4,3,4,1
"10428",8,2,1,5,5,3,5,1,3,2,3,3,5,3,3,2,5
"10277",20,2,1,4,1,4,1,2,4,5,2,5,1,5,5,3,3
"10434",8,2,2,3,2,1,2,3,1,4,4,3,4,2,1,2,4
"10366",24,2,1,3,3,4,2,5,5,5,3,4,2,5,4,4,1
"10428",4,1,NA,2,5,4,1,5,NA,1,1,5,2,3,5,5,1
"10411",24,1,1,3,3,2,2,2,4,4,4,4,3,4,4,4,2
"10418",12,1,1,5,1,4,1,1,3,2,2,3,1,5,4,4,1
"10277",16,1,1,4,1,5,1,2,5,5,1,5,1,5,5,5,1
"10429",12,1,NA,3,1,5,1,1,NA,5,1,5,1,5,5,5,1
"10426",24,1,1,5,4,5,2,1,3,3,1,4,2,5,5,4,1
"10372",16,1,NA,5,4,3,3,1,NA,3,3,2,3,3,2,2,2
"10366",20,1,1,4,1,3,1,4,4,5,3,4,3,5,3,4,1
"10352",56,7,3,2,1,2,1,4,3,3,3,5,3,5,5,4,1
"10277",12,7,1,1,1,5,1,3,5,5,1,5,1,5,5,5,1
"10426",20,7,2,2,1,3,1,5,3,5,1,4,2,3,3,4,1
"10429",8,7,1,3,1,2,1,5,5,5,3,4,3,5,4,4,1
"10411",20,7,NA,5,3,4,3,1,NA,5,1,4,3,5,4,4,3
"10412",56,7,1,2,1,1,1,3,3,4,3,3,3,4,2,3,1
"10372",12,7,2,3,1,3,2,3,3,4,3,3,2,4,3,3,1
"10415",52,7,1,3,2,3,1,3,4,4,1,4,2,4,4,4,1
"10366",16,7,1,2,3,3,1,5,4,5,3,4,3,5,4,4,1
"10418",8,7,1,2,1,3,1,4,5,4,1,3,1,4,4,4,1
"10349",24,6,1,3,4,3,1,3,3,3,3,3,2,5,3,3,1
"10418",4,6,1,4,1,3,1,5,4,4,2,4,2,4,4,4,1
