"SID","freq","hourBlock","day","beepvar","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","Wave","waveDay","beepvar3","SID2","A_rude_comp","E_quiet_comp","C_lazy_comp","N_relaxed_comp","N_depressed_comp","E_outgoing_comp","A_kind_comp","C_reliable_comp","N_worried_comp"
"12",18,4,5,20,2,3,2,3,2,3,4,3,2,"7","7.5",13,216,1.64285714285714,3.61111111111111,2.94444444444444,3.5,2.33333333333333,2.77777777777778,3.71428571428571,3.05555555555556,2.16666666666667
"10383",13,4,5,20,1.14285714285714,5,3,3,2,1,3,2,5,"7","7.5",12,227,1.14285714285714,3.15384615384615,2.61538461538462,3.69230769230769,1.69230769230769,1.30769230769231,3,2.76923076923077,3.92307692307692
"10413",81,1,50,197,1,3,2,4,2,3,5,5,2,"7","7.50",74,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,1,50,197,3,3,3,3,2,3,3,3,4,"7","7.50",74,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10281",16,1,50,197,2,3,2,2,1,3,2,4,2,"7","7.50",6,226,1.84615384615385,4.25,2.3125,2.625,1.5625,2.25,2.07142857142857,2.8125,2
"10413",81,2,50,198,1,2,4,4,2,5,5,4,2,"7","7.50",75,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,3,50,199,1,4,2,4,2,3,5,4,2,"7","7.50",76,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10336",30,2,51,202,1,5,3,3,4,2,3,2,4,"7","7.51",24,128,1.35294117647059,3.51351351351351,2.91891891891892,2.94594594594595,2.02702702702703,2.43243243243243,3.41176470588235,3.05405405405405,2.72972972972973
"10413",81,2,51,202,1,3,1,4,1,4,5,5,1,"7","7.51",77,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10494",24,4,51,204,1,1,5,2,1,1,5,5,1,"7","7.51",30,189,1.16,3.27272727272727,1.51515151515152,3.27272727272727,1.75757575757576,2.51515151515152,3.72,3.36363636363636,2.66666666666667
"10413",81,2,52,206,1.39325842696629,5,4,4,1,1,4.39325842696629,3,2,"7","7.52",78,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,2,53,210,1,1,3,4,1,5,5,4,2,"7","7.53",79,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10281",16,3,53,211,2,5,2,3,2,2,2,3,2,"7","7.53",7,226,1.84615384615385,4.25,2.3125,2.625,1.5625,2.25,2.07142857142857,2.8125,2
"10281",16,4,53,212,2,5,2,2,2,2,2,3,3,"7","7.53",8,226,1.84615384615385,4.25,2.3125,2.625,1.5625,2.25,2.07142857142857,2.8125,2
"10413",81,2,54,214,1,5,1,2,1,1,5,5,3,"7","7.54",80,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,2,54,214,2,3,3,4,1,4,3,4,2,"7","7.54",75,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10413",81,3,54,215,1.39325842696629,5,1,4,2,1,4.39325842696629,5,3,"7","7.54",81,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,2,55,218,1.39325842696629,5,5,5,1,1,4.39325842696629,2,2,"7","7.55",82,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,2,55,218,2,3,3,4,3,3,3,4,2,"7","7.55",76,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10413",81,3,55,219,1,2,1,4,1,4,5,5,1,"7","7.55",83,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,3,55,219,2,4,3,3,2,3,3,3,2,"7","7.55",77,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10422",77,4,55,220,3,2,3,3,2,4,2,3,2,"7","7.55",78,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10413",81,1,56,221,1,2,2,5,1,4,5,4,1,"7","7.56",84,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,1,56,221,2,3,2,4,2,3,4,3,2,"7","7.56",79,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10336",30,2,56,222,1,2,5,3,1,3,5,3,1,"7","7.56",25,128,1.35294117647059,3.51351351351351,2.91891891891892,2.94594594594595,2.02702702702703,2.43243243243243,3.41176470588235,3.05405405405405,2.72972972972973
"10413",81,2,56,222,1,2,1,4,1,4,5,5,1,"7","7.56",85,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10413",81,3,56,223,1,2,2,3,2,4,5,4,2,"7","7.56",86,154,1.39325842696629,3.38235294117647,2.32352941176471,3.55882352941176,2.06862745098039,2.56862745098039,4.39325842696629,3.69607843137255,1.94117647058824
"10422",77,1,57,225,4,4,4,3,2,2,2,3,2,"7","7.57",80,157,2.30487804878049,3.42168674698795,3.03614457831325,3.43373493975904,1.93975903614458,2.83132530120482,3.04878048780488,3.12048192771084,2.53012048192771
"10336",30,2,57,226,1,3,3,3,3,2,3,3,1,"7","7.57",26,128,1.35294117647059,3.51351351351351,2.91891891891892,2.94594594594595,2.02702702702703,2.43243243243243,3.41176470588235,3.05405405405405,2.72972972972973
"10336",30,1,58,229,1,3,3,2,3,2,3,3,3,"7","7.58",27,128,1.35294117647059,3.51351351351351,2.91891891891892,2.94594594594595,2.02702702702703,2.43243243243243,3.41176470588235,3.05405405405405,2.72972972972973
