"SID","A_rude","E_quiet","C_lazy","N_relaxed","N_depressed","E_outgoing","A_kind","C_reliable","N_worried","authentic","SE","Happy","Lonely","day","real_order","pos_emotion","neg_emotion"
"5",NA,0.191489361702128,0.723404255319149,-0.914893617021277,0.319148936170213,-1.14893617021277,NA,-1.76595744680851,-1.02127659574468,0.361702127659574,-0.425531914893617,0.340425531914894,0.74468085106383,15.4893617021277,-3.04255319148936,NA,NA
"5",NA,2.19148936170213,0.723404255319149,-0.914893617021277,0.319148936170213,-0.148936170212766,NA,-1.76595744680851,1.97872340425532,0.361702127659574,-1.42553191489362,-0.659574468085106,1.74468085106383,11.4893617021277,2.95744680851064,NA,NA
"5",-0.82051282051282,-0.808510638297872,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,2.74468085106383,7.48936170212766,1.95744680851064,NA,NA
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,2.08510638297872,-0.680851063829787,1.85106382978723,-0.82051282051282,1.23404255319149,-2.02127659574468,1.36170212765957,1.57446808510638,1.34042553191489,-1.25531914893617,3.48936170212766,0.957446808510638,NA,NA
"5",-0.82051282051282,-0.808510638297872,0.723404255319149,1.08510638297872,-0.680851063829787,0.851063829787234,1.17948717948718,0.234042553191489,-2.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-1.25531914893617,-4.51063829787234,-1.04255319148936,NA,NA
"5",1.17948717948718,0.191489361702128,-1.27659574468085,0.0851063829787234,-0.680851063829787,-0.148936170212766,0.179487179487179,-0.765957446808511,-2.02127659574468,-0.638297872340426,0.574468085106383,0.340425531914894,0.74468085106383,-8.51063829787234,-2.04255319148936,NA,NA
"5",0.179487179487179,-0.808510638297872,1.72340425531915,-0.914893617021277,0.319148936170213,-0.148936170212766,0.179487179487179,0.234042553191489,1.97872340425532,0.361702127659574,0.574468085106383,0.340425531914894,-0.25531914893617,-12.5106382978723,-3.04255319148936,NA,NA
"5",1.17948717948718,-0.808510638297872,0.723404255319149,-0.914893617021277,-0.680851063829787,-2.14893617021277,-0.82051282051282,0.234042553191489,0.978723404255319,-1.63829787234043,-0.425531914893617,-0.659574468085106,-0.25531914893617,-16.5106382978723,2.95744680851064,NA,NA
"5",-0.82051282051282,-1.80851063829787,-1.27659574468085,0.0851063829787234,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,-1.02127659574468,1.36170212765957,0.574468085106383,1.34042553191489,-0.25531914893617,-20.5106382978723,1.95744680851064,NA,NA
"5",2.17948717948718,-1.80851063829787,-1.27659574468085,0.0851063829787234,-0.680851063829787,1.85106382978723,1.17948717948718,1.23404255319149,0.978723404255319,-2.63829787234043,1.57446808510638,1.34042553191489,-1.25531914893617,-24.5106382978723,0.957446808510638,NA,NA
"5",-0.82051282051282,-1.80851063829787,-0.276595744680851,1.08510638297872,0.319148936170213,0.851063829787234,0.179487179487179,0.234042553191489,-2.02127659574468,0.361702127659574,0.574468085106383,0.340425531914894,-1.25531914893617,-27.5106382978723,0.957446808510638,NA,NA
